ID,GRUPO,EMPRESA,SEGMENTO,CIDADE_UF,GPTW,STATUS_MAPEAMENTO,SITE_OFICIAL,LINKEDIN_EMPRESA,GESTOR_RH,CARGO_RH,LINKEDIN_GESTOR_RH,EMAIL_CONTATO,TELEFONE,PORTAL_VAGAS,OBSERVACOES
34,SERVICOS,Energisa Bahia,Energia/Utilidades,Salvador-BA,Nao,,https://www.energisa.com.br,https://br.linkedin.com/company/energisa,Cynthia Goncalves,Gerente Corporativa Desenv. Organizacional e Gestao de Pessoas,,,0800 722 7272,https://grupoenergisa.gupy.io/,Maior grupo privado nacional setor eletrico - RH corporativo
35,TECNOLOGIA,Jusbrasil,Software Juridico,Salvador-BA,Nao,,https://www.jusbrasil.com.br / https://sobre.jusbrasil.com.br,https://br.linkedin.com/company/jusbrasil,Nao identificado (area de People existe),,,suporte@jusbrasil.com.br / @jusbrasil.com.br,(71) 3494-3514,,Maior lawtech LATAM - 600+ colaboradores - trabalho distribuido
36,TECNOLOGIA,Foco Tecnologia,TI/Consultoria,Salvador-BA,Nao,,Nao encontrado,https://br.linkedin.com/company/focotecnologiaemarketing,Nao identificado,,,Rua Padre Casimiro 236 Imbui Salvador,,,Empresa de pequeno porte - presenca digital limitada - CNPJ 08.372.087/0001-30
37,TECNOLOGIA,Inventivos Tecnologia,Inovacao Digital,Salvador-BA,Nao,,https://inventivos.co,https://br.linkedin.com/company/inventivosco,Nao identificado (Startup - CEO: Monique Evelle),,,Via site inventivos.co,,,Startup - cofundadores Monique Evelle e Lucas Santana - +60.000 pessoas impactadas
38,TECNOLOGIA,Netbase Consultoria,Consultoria TI,Salvador-BA,Nao,NAO LOCALIZADA,Nao encontrado,Nao encontrado,Nao identificado,,,,,,Empresa nao localizada - verificar nome correto
39,TECNOLOGIA,BRK Ambiental,Saneamento/Tech,Regiao Metropolitana Salvador-BA,Nao,,https://www.brkambiental.com.br,https://br.linkedin.com/company/brkambiental,Livia Borela,Diretora de RH,https://br.linkedin.com/in/livia-borela,atendimento.sac@brkambiental.com.br / cscfiscal@brkambiental.com.br,(71) 3483-2011 / 0800 771 0001,https://www.brkambiental.com.br/trabalhe-conosco,Rua Alceu Amoroso Lima 668 Ed. America Towers Salvador - +16 milhoes de pessoas atendidas
40,CONCORRENTE - ENERGIA,CPFL Energia,Distribuicao de Energia Eletrica,Campinas-SP,Nao,,https://www.grupocpfl.com.br/,https://br.linkedin.com/company/cpfl,Renato Povia,Diretor de Recursos Humanos,https://br.linkedin.com/in/renato-povia-a60002155,,,https://www.grupocpfl.com.br/rh/nossas-pessoas,Concorrente Coelba/Energisa - 687 municipios em SP/RS/PR/MG - 16.000 empregados - controlada por State Grid China
41,CONCORRENTE - ENERGIA,Equatorial Energia,Distribuicao de Energia Eletrica,Sao Luis-MA,Nao,,https://www.equatorialenergia.com.br/,https://br.linkedin.com/company/grupoequatorial,Carla Medrado,Diretora Corporativa de Pessoas e Gestao,,,,https://equatorialenergia.gupy.io/,Concorrente Coelba/Energisa - 7 concessionarias em MA/PA/PI/AL/RS/AP/GO - ~14 milhoes de consumidores
42,CONCORRENTE - ENERGIA,Enel Brasil (Distribuicao SP/RJ/CE/GO),Distribuicao de Energia Eletrica,Sao Paulo-SP,Nao,,https://www.enel.com.br/,https://br.linkedin.com/company/enelbrasil,Alain Rosolino,Diretor de Pessoas e Organizacao,,,,https://app.jobconvo.com/pt-br/careers/enel/,Concorrente Coelba/Energisa - Distribui energia em SP/RJ/CE/GO - subsidiaria do grupo italiano Enel
43,CONCORRENTE - ENERGIA,CEMIG (Companhia Energetica de Minas Gerais),Distribuicao de Energia Eletrica,Belo Horizonte-MG,Nao,,https://www.cemig.com.br/,https://www.linkedin.com/company/cemig,Hudson Felix Almeida,Superintendente de Gestao de Pessoas e Servicos Corporativos,,,,https://www.cemig.com.br/carreiras/,Concorrente Coelba/Energisa - Atende 96.7% de MG - empresa mista estadual
44,CONCORRENTE - ENERGIA,Copel (Companhia Paranaense de Energia),Distribuicao de Energia Eletrica,Curitiba-PR,Nao,,https://www.copel.com/,https://www.linkedin.com/company/copel,Marcia Baena,Diretora de Gente e Gestao,https://www.linkedin.com/in/marciabaena/,,,https://copel.gupy.io/,Concorrente Coelba/Energisa - Privatizada em 2024 - forte presenca no Parana
45,CONCORRENTE - ENERGIA,EDP Brasil,Distribuicao de Energia Eletrica,Sao Paulo-SP,Nao,,https://www.edp.com.br/,https://br.linkedin.com/company/edpbrasil,Fernanda Pires,Vice-Presidente Pessoas e ESG,https://br.linkedin.com/in/fernanda-pires-ela-she-ella-189206b,,,https://jobs.edp.com/go/EDP-Brasil/1169301/,Concorrente Coelba/Energisa - Distribuicao em SP e ES - subsidiaria do grupo portugues EDP
46,CONCORRENTE - ENERGIA,Light S.A.,Distribuicao de Energia Eletrica,Rio de Janeiro-RJ,Nao,,https://www.light.com.br/,https://br.linkedin.com/company/light,Fabio Amorim da Rocha,Diretor de Gente e Gestao Empresarial,,,,https://talentoslight.gupy.io/,Concorrente Coelba/Energisa - +4.000 colaboradores - regiao metropolitana do Rio de Janeiro
47,CONCORRENTE - ENERGIA,Celesc (Centrais Eletricas de Santa Catarina),Distribuicao de Energia Eletrica,Florianopolis-SC,Nao,,https://www.celesc.com.br/,https://br.linkedin.com/company/celescoficial,Pilar Sabino da Silva,Diretora de Gestao Corporativa,https://www.linkedin.com/in/pilar-sabino-da-silva-922aaa45/,,,,Concorrente Coelba/Energisa - Empresa mista estadual de Santa Catarina
48,CONCORRENTE - ENERGIA,Energisa (Grupo - distribuidoras nacionais),Distribuicao de Energia Eletrica,Cataguases-MG (sede),Nao,,https://www.energisa.com.br/,https://br.linkedin.com/company/energisa,Cynthia Goncalves,Gerente Corporativa Desenv. Organizacional e Gestao de Pessoas,,,0800 722 7272,https://grupoenergisa.gupy.io/,Sobrepoe com Energisa Bahia (ID 34) - Concorrente Coelba - 11 estados - +8 milhoes clientes
49,CONCORRENTE - ENERGIA,Neoenergia (Grupo - demais distribuidoras),Distribuicao de Energia Eletrica,Recife-PE (sede),Nao,,https://www.neoenergia.com/,https://br.linkedin.com/company/neoenergia,Regia Barbosa,Superintendente Desenvolvimento Organizacional e Cultura,,,,https://neoenergia.gupy.io/,Sobrepoe com Coelba (ID 10) - Grupo inclui Elektro/Celpe/Cosern/Brasilia - controlada por Iberdrola - +15 milhoes clientes
50,CONCORRENTE - SANEAMENTO,Aegea Saneamento,Saneamento Basico (Agua e Esgoto),Sao Paulo-SP,Nao,,https://www.aegea.com.br/,https://br.linkedin.com/company/aegeasaneamento,Marcia Costa,Vice-Presidente de Gestao de Pessoas,,,,https://aegea.gupy.io/,Concorrente BRK - Maior empresa privada de saneamento do Brasil - +892 municipios - ~39 milhoes de pessoas atendidas
51,CONCORRENTE - SANEAMENTO,Sabesp (Cia de Saneamento Basico de SP),Saneamento Basico (Agua e Esgoto),Sao Paulo-SP,Nao,,https://site.sabesp.com.br/,https://www.linkedin.com/company/sabespcia,Josue Bressane,Diretor Executivo de Gente e Gestao,https://br.linkedin.com/in/josue-bressane-658359,,,https://vemprasabesp.gupy.io/,Concorrente BRK - Privatizada em 2024 - 375 municipios SP - 27.9 milhoes de pessoas - uma das maiores do mundo
52,CONCORRENTE - SANEAMENTO,Igua Saneamento,Saneamento Basico (Agua e Esgoto),Sao Paulo-SP,Nao,,https://www.igua.com.br/,https://br.linkedin.com/company/iguasaneamento,Erica Silvino,Diretora de Gestao e Gente,https://www.linkedin.com/in/erica-silvino/,,,https://vemserigua.gupy.io/,Concorrente BRK - Controlada por IG4 Capital - 38 municipios em 6 estados - ~7 milhoes de pessoas - GPTW 8 anos consecutivos
53,CONCORRENTE - SANEAMENTO,Copasa (Cia de Saneamento de Minas Gerais),Saneamento Basico (Agua e Esgoto),Belo Horizonte-MG,Nao,,https://www.copasa.com.br/,https://br.linkedin.com/company/aquitemcopasa,Glenda Lucia Pessoa Arthuzo,Superintendente de Recursos Humanos,,,,,Concorrente BRK - Empresa mista estadual de MG - privatizacao aprovada em dez/2025 - +10.000 funcionarios
54,CONCORRENTE - SANEAMENTO,Embasa (Empresa Baiana de Aguas e Saneamento),Saneamento Basico (Agua e Esgoto),Salvador-BA,Nao,,https://www.embasa.ba.gov.br/,https://br.linkedin.com/company/embasaoficial,Josue Jesus,Gerente de Gestao de Pessoas (GPE),,,,,Concorrente BRK na propria Bahia - Empresa estatal do governo baiano - 5.001-10.000 empregados
55,CONCORRENTE - SANEAMENTO,Sanepar (Cia de Saneamento do Parana),Saneamento Basico (Agua e Esgoto),Curitiba-PR,Nao,,https://www.sanepar.com.br/,https://br.linkedin.com/company/sanepar,Fernando Mauro Nascimento Guedes,Diretor Administrativo (responsavel pela area de pessoas),,,,https://www.sanepar.com.br/concursos,Concorrente BRK - Empresa mista estadual do Parana
56,CONCORRENTE - SANEAMENTO,Grupo Aguas do Brasil,Saneamento Basico (Agua e Esgoto),Niteroi-RJ,Nao,,https://www.grupoaguasdobrasil.com.br/,https://br.linkedin.com/company/grupoaguasdobrasil,Nao identificado (Marilene Ramos - Dir. Relacoes Institucionais),,,,,https://trabalheconosco.vagas.com.br/grupoaguasdobrasil,Concorrente BRK - 32 municipios em RJ/SP/MG - ~5 milhoes de pessoas - ~5 mil empregados
57,CONCORRENTE - SANEAMENTO,Corsan (Cia Riograndense de Saneamento / Aegea),Saneamento Basico (Agua e Esgoto),Porto Alegre-RS,Nao,,https://corsan.com.br/,https://br.linkedin.com/company/corsan,Nao identificado (Dir.-Pres.: Samanta Takimi),,,,,https://vagascorsanaegea.gupy.io/,Concorrente BRK - Privatizada para Aegea em 2023 - Atende maioria dos municipios do RS
58,CONCORRENTE - SANEAMENTO,Cagece (Cia de Agua e Esgoto do Ceara),Saneamento Basico (Agua e Esgoto),Fortaleza-CE,Nao,,https://www.cagece.com.br/,https://br.linkedin.com/company/companhia-de-agua-e-esgoto-do-ceara-cagece,Nao identificado (8 diretorias / 19 superintendencias),,,,,Concorrente BRK - Empresa mista estadual do Ceara - Pres. eleito diretor-pres. da AESBE,
59,CONCORRENTE - SANEAMENTO,Compesa (Cia Pernambucana de Saneamento),Saneamento Basico (Agua e Esgoto),Recife-PE,Nao,,https://servicos.compesa.com.br/,https://br.linkedin.com/company/compesa,Nao identificado (Dir.-Pres.: Douglas Nobrega),,,,,Concorrente BRK - Concessao parcial em 2025 (R$23.2 bi) - atende todo o estado de PE,
60,CONCORRENTE - PETROQUIMICA,Unipar (Grupo Unipar),"Petroquimica - Cloro, Soda e PVC",Santo Andre-SP (sede) / Cubatao-SP e Bahia Blanca (Argentina),,,https://unipar.com/,https://www.linkedin.com/company/grupo-unipar,Marcello Diegues Zappia,Diretor de Recursos Humanos / CHRO,https://www.linkedin.com/in/marcellozappia/,m***@unipar.com (via ZoomInfo),,https://unipar.com/carreiras,Concorrente de BRASKEM S.A.. Lider na producao de cloro e soda; 2a maior produtora de PVC na America do Sul. GPTW certificada.
61,CONCORRENTE - PETROQUIMICA,Unigel,"Petroquimica - Estirenicos, Acrilicos, Fertilizantes Nitrogenados","Sao Paulo-SP (sede) / Camacari-BA, Laranjeiras-SE, Candeias-BA",,,https://www.unigel.com.br/,https://www.linkedin.com/company/unigel,Nao identificado,,,,,https://www.unigel.com.br/ (secao Trabalhe Conosco),Concorrente de BRASKEM S.A.. 2o maior grupo petroquimico nacional. Lider em estirenicos e acrilicos na America Latina.
62,CONCORRENTE - PETROQUIMICA,Innova (Videolar-Innova),"Petroquimica - Poliestireno, Filmes BOPP, Resinas",Barueri-SP (sede) / Manaus-AM e Triunfo-RS,,,https://www.innova.com.br/,https://www.linkedin.com/company/videolarinnova,Gabriel Ornellas,Diretor de RH (referencia anterior; verificar atualidade),,,,https://innova.gupy.io/,Concorrente de BRASKEM S.A.. Opera no Polo Petroquimico de Triunfo (RS) e Polo Industrial de Manaus. Ranking Valor 1000 top 10 quimica.
63,CONCORRENTE - PETROQUIMICA,Elekeiroz,"Petroquimica - Intermediarios Quimicos, Plastificantes, Acido Acrilico",Varzea Paulista-SP e Camacari-BA,,,https://www.elekeiroz.com.br/,https://www.linkedin.com/company/elekeiroz,Nao identificado,,,Verificar via portal de carreiras,,https://trabalheconosco.vagas.com.br/elekeiroz,Concorrente de BRASKEM S.A.. Maior portfolio de plastificantes da America Latina. Vendida pela H.I.G. Capital para Oswaldo Cruz Quimica.
64,CONCORRENTE - PETROQUIMICA,BASF Brasil,"Quimica/Petroquimica - Quimicos para Agricultura, Industriais, Performance","Sao Bernardo do Campo-SP (sede) / Guaratingueta-SP, Camacari-BA, etc.",,,https://www.basf.com/br/pt,https://www.linkedin.com/company/basf,Priscila Camara,"VP Senior America do Sul (cargo geral, nao especifico de RH). Betsy Rodriguez - Recursos Humanos (referencia encontrada)","Buscar ""BASF Brasil recursos humanos"" no LinkedIn",Verificar via site de carreiras,,https://www.basf.com/br/pt/careers,Concorrente de BRASKEM S.A.. Maior empresa quimica do mundo. Forte presenca no Brasil. Priscila Camara assumiu VP Senior Am. Sul em out/2024.
65,CONCORRENTE - PETROQUIMICA,Dow Brasil,"Petroquimica/Quimica - Plasticos, Quimicos Industriais, Performance","Sao Paulo-SP (sede) / Aratu-BA, Guaruja-SP, Jundiai-SP, Hortolandia-SP",,,https://br.dow.com/pt-br,https://www.linkedin.com/company/dow-chemical,Nao identificado,,,Verificar via site Dow Brasil,,https://br.dow.com/pt-br (secao Carreiras),"Concorrente de BRASKEM S.A.. Multinacional com mais de 2.000 funcionarios no Brasil. Atua em polietileno, poliuretano, silicones."
66,CONCORRENTE - PETROQUIMICA,Cabot Brasil Industria e Comercio Ltda,"Quimica Especializada - Negro de Fumo, Materiais de Performance",Maua-SP,,,https://www.cabotcorp.com/,https://www.linkedin.com/company/cabot-corporation,Nao identificado,,,Verificar via site corporativo,,https://www.cabotcorp.com/ (secao Careers),Concorrente de BRASKEM S.A.. Mais de 4 decadas no Brasil. Tres unidades produtivas em Maua-SP.
67,CONCORRENTE - PETROQUIMICA,Evonik Brasil (Evonik Degussa Brasil Ltda),"Quimica Especializada - Nutricao Animal, Polimeros, Silica","Sao Paulo-SP (sede) / Americana-SP, Aracruz-ES, Castro-PR",,,https://www.evonik.com/en/company/worldwide-locations/central-and-south-america/Brazil.html,https://www.linkedin.com/company/evonik,Nao identificado,,Weber Porto (Diretor Presidente) - buscar equipe RH via LinkedIn,Verificar via site,,https://career.lanxess.com/ (usar site Evonik careers),"Concorrente de BRASKEM S.A.. Quimica especializada alema. Escritorio comercial em SP, producao em Americana, Aracruz e Castro."
68,CONCORRENTE - PETROQUIMICA,Lanxess Brasil (Lanxess Industria de Produtos Quimicos e Plasticos Ltda),"Quimica Especializada - Aditivos, Intermediarios, Polimeros de Engenharia","Sao Paulo-SP (escritorio) / Porto Feliz-SP, Duque de Caxias-RJ",,,https://lanxess.com.br/pt/,https://www.linkedin.com/company/lanxess,Nao identificado,,,Verificar via site,,https://career.lanxess.com/,Concorrente de BRASKEM S.A.. Diretoria no Brasil: Eliane Siviero de Freitas e Hans-Jurgen Claasen. Quimica especializada alema.
69,CONCORRENTE - PETROQUIMICA,Solvay / Rhodia Brasil,"Quimica/Petroquimica - Solventes, Polimeros Especiais, Silica","Sao Paulo-SP (sede) / Paulinia-SP, Santo Andre-SP",,,https://www.solvay.com/en/solvay-around-the-world/brazil,https://www.linkedin.com/company/rhodiabrasil,Alessandra Geronimo,Gerente de Recursos Humanos (referencia LinkedIn),https://www.linkedin.com/in/alessandra-geronimo-b44a6185/,,,https://www.solvay.com/en/careers,Concorrente de BRASKEM S.A.. Operacao historica no Brasil via marca Rhodia. Forte em quimica para mineracao e agroindustria.
70,CONCORRENTE - PETROQUIMICA,Brava Energia (fusao 3R Petroleum + Enauta),Exploracao e Producao de Petroleo e Gas / Refino,Rio de Janeiro-RJ (sede),,,https://bravaenergia.com/,https://www.linkedin.com/company/brava-energia,Nao identificado,,,Verificar via portal de carreiras,,https://bravaenergia.gupy.io/,Concorrente de ACELEN. Maior empresa independente de O&G do Brasil. Opera refinaria Clara Camarao (RN). CEO: Decio Oddone.
71,CONCORRENTE - PETROQUIMICA,PetroReconcavo,Exploracao e Producao de Petroleo e Gas (campos maduros),"Salvador-BA (sede) / Bahia, Ceara, Alagoas, Minas Gerais, Para",,,https://petroreconcavo.com.br/,https://www.linkedin.com/company/petroreconcavo,Felipe Araujo,"Vice-Presidente / Diretor de Gente & Gestao, ESG e Comunicacao",https://www.linkedin.com/in/felipearaujo/,f***@petroreconcavo.com.br (via ZoomInfo),,https://petroreconcavocarreiras.gupy.io/,"Concorrente de ACELEN. Forte presenca na Bahia, operando em campos maduros. Felipe Araujo tem background McKinsey/INSEAD."
